sample_size,trial,model,test_auc,test_accuracy,test_rmse
50,0,Standard BKT,0.7219430485762144,0.6802030456852792,0.4601440170074607
50,0,BKT with Forgetting,0.7289524545805952,0.6852791878172588,0.456587464527687
50,0,Individualized BKT,0.7564617961602885,0.700507614213198,0.4472718342063582
50,1,Standard BKT,0.7378059440559441,0.7008086253369272,0.4582153032221913
50,1,BKT with Forgetting,0.7701486013986014,0.7223719676549866,0.4449672520152869
50,1,Individualized BKT,0.7825757575757576,0.7115902964959568,0.4380273665014345
100,0,Standard BKT,0.6797404391449762,0.6996047430830039,0.4591516475772009
100,0,BKT with Forgetting,0.7351279627744656,0.7312252964426877,0.4464833409769036
100,0,Individualized BKT,0.70512578159081,0.7180500658761528,0.45111598302131517
100,1,Standard BKT,0.7100900134927821,0.6712158808933002,0.46384885831253947
100,1,BKT with Forgetting,0.7312102224768806,0.6786600496277916,0.45726965616532805
100,1,Individualized BKT,0.7483041605825925,0.6985111662531017,0.4501503466834841
200,0,Standard BKT,0.7236958792345742,0.7030953885028427,0.45129508948225017
200,0,BKT with Forgetting,0.7645323821348101,0.7113076437144662,0.4434863309268701
200,0,Individualized BKT,0.7556165382417278,0.7214150347441567,0.4382610644010947
200,1,Standard BKT,0.7233436562821276,0.6839799749687109,0.45677573058588494
200,1,BKT with Forgetting,0.7422676586383499,0.6933667083854819,0.45171006950563575
200,1,Individualized BKT,0.7663020733808472,0.7165206508135169,0.4404688076793686
