sample_size,trial,model,test_auc,test_accuracy,test_rmse
50,0,Standard BKT,0.7013899031205881,0.6585956416464891,0.4634442192097627
50,0,BKT with Forgetting,0.7342266686139916,0.6707021791767555,0.45593604519440933
50,0,Individualized BKT,0.7010247797088751,0.6828087167070218,0.46201293112215747
50,0,Improved BKT (Time),0.7522272528114502,0.6876513317191283,0.4437319675810294
50,0,Logistic Model (PFA),0.6996494815247554,0.6731234866828087,0.46243188271860525
50,1,Standard BKT,0.712829083747927,0.6513994910941476,0.4654946819758548
50,1,BKT with Forgetting,0.728324523217247,0.6641221374045801,0.4607146632031188
50,1,Individualized BKT,0.7477326907131012,0.7048346055979644,0.4527972148526665
50,1,Improved BKT (Time),0.730384535655058,0.7048346055979644,0.4556216181076195
50,1,Logistic Model (PFA),0.6870854063018241,0.648854961832061,0.4733330406162914
