parameter,value,num_trials,auc,accuracy,rmse,log_loss,auc_std,accuracy_std,rmse_std,log_loss_std
p_init,0.0,3,0.7667822569263495,0.7210092600458755,0.433088319639969,0.5538458523880242,0.0,0.0,0.0,0.0
p_init,0.1,3,0.7820408875686388,0.7281454421884291,0.4284726162680976,0.5446531633497026,0.0,0.0,0.0,0.0
p_init,0.2,3,0.7893353472380505,0.7282303967377453,0.4278819751254351,0.5436546114981504,0.0,0.0,5.551115123125783e-17,0.0
p_init,0.30000000000000004,3,0.789959252850624,0.7282303967377453,0.4286758285702464,0.5453026757114265,0.0,0.0,0.0,0.0
p_init,0.4,3,0.7899973152693048,0.7274658057939002,0.43037709352489295,0.5486592931010214,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
p_init,0.5,3,0.7901501891617494,0.7081811230991418,0.4328922131856614,0.5535938601898686,0.0,1.1102230246251565e-16,0.0,0.0
p_init,0.6000000000000001,3,0.7869492006862352,0.7077563503525613,0.4362846664007279,0.560385348856809,1.1102230246251565e-16,0.0,0.0,0.0
p_init,0.7000000000000001,3,0.7860342164052264,0.7076713958032452,0.4407850050059475,0.5698242571195934,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0
p_init,0.8,3,0.7854353240884905,0.688386713108487,0.44703191086954847,0.5838853669260966,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0
p_init,0.9,3,0.7786065605639219,0.6841389856426812,0.457346477187827,0.6091012559515276,0.0,0.0,0.0,0.0
