parameter,value,num_trials,auc,accuracy,rmse,log_loss,auc_std,accuracy_std,rmse_std,log_loss_std
p_init,0.0,3,0.7757579161492713,0.7390638670166231,0.4216406980377621,0.5314615420225005,0.0,1.1102230246251565e-16,0.0,0.0
p_init,0.1,3,0.7908314816025097,0.7462817147856518,0.4159791811909653,0.5203711717787876,0.0,0.0,0.0,0.0
p_init,0.2,3,0.8002596848245213,0.7462817147856518,0.4149205340912196,0.5183482478614497,0.0,0.0,0.0,0.0
p_init,0.30000000000000004,3,0.8015786345663681,0.7462817147856518,0.41526529763015657,0.5190472860208869,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.0
p_init,0.4,3,0.8017082216848572,0.7462817147856518,0.4164506436524053,0.5213690117023537,0.0,0.0,0.0,0.0
p_init,0.5,3,0.8018910120253578,0.7331583552055992,0.4183534956813009,0.5250865403499004,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0
p_init,0.6000000000000001,3,0.8010393520031368,0.7333770778652667,0.4210086328971683,0.5303640379303315,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
p_init,0.7000000000000001,3,0.8004523805633618,0.7333770778652667,0.42458961709026793,0.5377933091728984,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
p_init,0.8,3,0.7999174890530031,0.7206911636045494,0.4295888613580748,0.5489040645100374,0.0,0.0,0.0,0.0
p_init,0.9,3,0.795996993660545,0.7198162729658794,0.43784888012753903,0.5687945385660427,0.0,1.1102230246251565e-16,0.0,0.0
